051  19551 |Loss: 0.362 | Acc: 86.719% 
051  19552 |Loss: 0.328 | Acc: 88.281% 
051  19553 |Loss: 0.322 | Acc: 88.281% 
051  19554 |Loss: 0.325 | Acc: 88.086% 
051  19555 |Loss: 0.331 | Acc: 87.812% 
051  19556 |Loss: 0.359 | Acc: 87.500% 
051  19557 |Loss: 0.355 | Acc: 87.500% 
051  19558 |Loss: 0.339 | Acc: 88.379% 
051  19559 |Loss: 0.327 | Acc: 88.889% 
051  19560 |Loss: 0.335 | Acc: 88.594% 
051  19561 |Loss: 0.343 | Acc: 88.281% 
051  19562 |Loss: 0.340 | Acc: 88.477% 
051  19563 |Loss: 0.330 | Acc: 88.702% 
051  19564 |Loss: 0.336 | Acc: 88.449% 
051  19565 |Loss: 0.338 | Acc: 88.438% 
051  19566 |Loss: 0.331 | Acc: 88.770% 
051  19567 |Loss: 0.330 | Acc: 88.649% 
051  19568 |Loss: 0.321 | Acc: 89.019% 
051  19569 |Loss: 0.326 | Acc: 88.980% 
051  19570 |Loss: 0.326 | Acc: 88.945% 
051  19571 |Loss: 0.326 | Acc: 88.914% 
051  19572 |Loss: 0.325 | Acc: 89.027% 
051  19573 |Loss: 0.323 | Acc: 88.995% 
051  19574 |Loss: 0.322 | Acc: 89.062% 
051  19575 |Loss: 0.317 | Acc: 89.188% 
051  19576 |Loss: 0.312 | Acc: 89.333% 
051  19577 |Loss: 0.311 | Acc: 89.294% 
051  19578 |Loss: 0.309 | Acc: 89.314% 
051  19579 |Loss: 0.306 | Acc: 89.440% 
051  19580 |Loss: 0.301 | Acc: 89.505% 
051  19581 |Loss: 0.299 | Acc: 89.567% 
051  19582 |Loss: 0.298 | Acc: 89.648% 
051  19583 |Loss: 0.298 | Acc: 89.631% 
051  19584 |Loss: 0.299 | Acc: 89.614% 
051  19585 |Loss: 0.298 | Acc: 89.531% 
051  19586 |Loss: 0.298 | Acc: 89.453% 
051  19587 |Loss: 0.298 | Acc: 89.527% 
051  19588 |Loss: 0.300 | Acc: 89.515% 
051  19589 |Loss: 0.297 | Acc: 89.623% 
051  19590 |Loss: 0.295 | Acc: 89.688% 
051  19591 |Loss: 0.296 | Acc: 89.615% 
051  19592 |Loss: 0.298 | Acc: 89.583% 
051  19593 |Loss: 0.298 | Acc: 89.553% 
051  19594 |Loss: 0.299 | Acc: 89.542% 
051  19595 |Loss: 0.298 | Acc: 89.635% 
051  19596 |Loss: 0.296 | Acc: 89.725% 
051  19597 |Loss: 0.296 | Acc: 89.694% 
051  19598 |Loss: 0.298 | Acc: 89.567% 
051  19599 |Loss: 0.298 | Acc: 89.525% 
051  19600 |Loss: 0.298 | Acc: 89.516% 
051  19601 |Loss: 0.298 | Acc: 89.507% 
051  19602 |Loss: 0.298 | Acc: 89.588% 
051  19603 |Loss: 0.296 | Acc: 89.608% 
051  19604 |Loss: 0.296 | Acc: 89.598% 
051  19605 |Loss: 0.297 | Acc: 89.574% 
051  19606 |Loss: 0.296 | Acc: 89.648% 
051  19607 |Loss: 0.296 | Acc: 89.652% 
051  19608 |Loss: 0.297 | Acc: 89.615% 
051  19609 |Loss: 0.297 | Acc: 89.605% 
051  19610 |Loss: 0.297 | Acc: 89.596% 
051  19611 |Loss: 0.299 | Acc: 89.575% 
051  19612 |Loss: 0.298 | Acc: 89.579% 
051  19613 |Loss: 0.296 | Acc: 89.670% 
051  19614 |Loss: 0.297 | Acc: 89.648% 
051  19615 |Loss: 0.297 | Acc: 89.627% 
051  19616 |Loss: 0.296 | Acc: 89.654% 
051  19617 |Loss: 0.295 | Acc: 89.739% 
051  19618 |Loss: 0.295 | Acc: 89.729% 
051  19619 |Loss: 0.297 | Acc: 89.651% 
051  19620 |Loss: 0.296 | Acc: 89.710% 
051  19621 |Loss: 0.295 | Acc: 89.745% 
051  19622 |Loss: 0.294 | Acc: 89.714% 
051  19623 |Loss: 0.296 | Acc: 89.651% 
051  19624 |Loss: 0.295 | Acc: 89.696% 
051  19625 |Loss: 0.294 | Acc: 89.708% 
051  19626 |Loss: 0.294 | Acc: 89.741% 
051  19627 |Loss: 0.293 | Acc: 89.773% 
051  19628 |Loss: 0.294 | Acc: 89.744% 
051  19629 |Loss: 0.292 | Acc: 89.784% 
051  19630 |Loss: 0.292 | Acc: 89.775% 
051  19631 |Loss: 0.292 | Acc: 89.805% 
051  19632 |Loss: 0.292 | Acc: 89.796% 
051  19633 |Loss: 0.292 | Acc: 89.787% 
051  19634 |Loss: 0.290 | Acc: 89.853% 
051  19635 |Loss: 0.291 | Acc: 89.853% 
051  19636 |Loss: 0.291 | Acc: 89.816% 
051  19637 |Loss: 0.292 | Acc: 89.817% 
051  19638 |Loss: 0.291 | Acc: 89.862% 
051  19639 |Loss: 0.291 | Acc: 89.888% 
051  19640 |Loss: 0.291 | Acc: 89.852% 
051  19641 |Loss: 0.290 | Acc: 89.912% 
051  19642 |Loss: 0.291 | Acc: 89.895% 
051  19643 |Loss: 0.290 | Acc: 89.936% 
051  19644 |Loss: 0.290 | Acc: 89.968% 
051  19645 |Loss: 0.290 | Acc: 89.959% 
051  19646 |Loss: 0.291 | Acc: 89.941% 
051  19647 |Loss: 0.290 | Acc: 89.957% 
051  19648 |Loss: 0.290 | Acc: 89.987% 
051  19649 |Loss: 0.289 | Acc: 90.041% 
051  19650 |Loss: 0.288 | Acc: 90.070% 
051  19651 |Loss: 0.289 | Acc: 90.053% 
051  19652 |Loss: 0.289 | Acc: 90.058% 
051  19653 |Loss: 0.288 | Acc: 90.079% 
051  19654 |Loss: 0.287 | Acc: 90.092% 
051  19655 |Loss: 0.286 | Acc: 90.141% 
051  19656 |Loss: 0.287 | Acc: 90.109% 
051  19657 |Loss: 0.286 | Acc: 90.136% 
051  19658 |Loss: 0.286 | Acc: 90.104% 
051  19659 |Loss: 0.287 | Acc: 90.102% 
051  19660 |Loss: 0.287 | Acc: 90.099% 
051  19661 |Loss: 0.286 | Acc: 90.097% 
051  19662 |Loss: 0.287 | Acc: 90.074% 
051  19663 |Loss: 0.286 | Acc: 90.106% 
051  19664 |Loss: 0.286 | Acc: 90.077% 
051  19665 |Loss: 0.286 | Acc: 90.082% 
051  19666 |Loss: 0.287 | Acc: 90.059% 
051  19667 |Loss: 0.286 | Acc: 90.051% 
051  19668 |Loss: 0.286 | Acc: 90.056% 
051  19669 |Loss: 0.286 | Acc: 90.060% 
051  19670 |Loss: 0.285 | Acc: 90.104% 
