EPOCH=049, Accuracy=78.480%, Adv_Accuracy=58.800%, FGSM_Accuracy=30.910%, PGD_Accuracy=32.6400%
EPOCH=050, Accuracy=78.490%, Adv_Accuracy=59.000%, FGSM_Accuracy=31.230%, PGD_Accuracy=33.1700%
EPOCH=051, Accuracy=78.550%, Adv_Accuracy=58.200%, FGSM_Accuracy=30.040%, PGD_Accuracy=31.1000%
EPOCH=052, Accuracy=78.960%, Adv_Accuracy=59.700%, FGSM_Accuracy=30.220%, PGD_Accuracy=31.7000%
EPOCH=053, Accuracy=79.590%, Adv_Accuracy=59.700%, FGSM_Accuracy=31.980%, PGD_Accuracy=33.8500%
EPOCH=054, Accuracy=79.820%, Adv_Accuracy=59.400%, FGSM_Accuracy=33.970%, PGD_Accuracy=36.1800%
EPOCH=055, Accuracy=79.220%, Adv_Accuracy=60.200%, FGSM_Accuracy=32.500%, PGD_Accuracy=33.8100%
EPOCH=056, Accuracy=79.580%, Adv_Accuracy=59.600%, FGSM_Accuracy=31.520%, PGD_Accuracy=32.7200%
EPOCH=057, Accuracy=79.950%, Adv_Accuracy=62.300%, FGSM_Accuracy=31.580%, PGD_Accuracy=33.1100%
EPOCH=058, Accuracy=79.830%, Adv_Accuracy=59.400%, FGSM_Accuracy=33.410%, PGD_Accuracy=34.9800%
EPOCH=059, Accuracy=78.990%, Adv_Accuracy=57.900%, FGSM_Accuracy=33.460%, PGD_Accuracy=35.8700%
EPOCH=060, Accuracy=80.690%, Adv_Accuracy=60.000%, FGSM_Accuracy=32.000%, PGD_Accuracy=34.0700%
EPOCH=061, Accuracy=80.280%, Adv_Accuracy=57.900%, FGSM_Accuracy=33.690%, PGD_Accuracy=35.5000%
EPOCH=062, Accuracy=80.710%, Adv_Accuracy=59.500%, FGSM_Accuracy=33.000%, PGD_Accuracy=35.2900%
EPOCH=063, Accuracy=80.700%, Adv_Accuracy=59.700%, FGSM_Accuracy=29.500%, PGD_Accuracy=31.7600%
EPOCH=064, Accuracy=80.900%, Adv_Accuracy=60.200%, FGSM_Accuracy=34.780%, PGD_Accuracy=36.5500%
EPOCH=065, Accuracy=81.500%, Adv_Accuracy=59.900%, FGSM_Accuracy=34.090%, PGD_Accuracy=35.9800%
EPOCH=066, Accuracy=81.250%, Adv_Accuracy=58.100%, FGSM_Accuracy=31.180%, PGD_Accuracy=33.2100%
EPOCH=067, Accuracy=81.400%, Adv_Accuracy=57.400%, FGSM_Accuracy=30.230%, PGD_Accuracy=32.8400%
EPOCH=068, Accuracy=81.100%, Adv_Accuracy=60.200%, FGSM_Accuracy=31.530%, PGD_Accuracy=33.0100%
EPOCH=069, Accuracy=81.460%, Adv_Accuracy=58.800%, FGSM_Accuracy=32.640%, PGD_Accuracy=34.3100%
EPOCH=070, Accuracy=81.540%, Adv_Accuracy=61.100%, FGSM_Accuracy=32.900%, PGD_Accuracy=34.8400%
EPOCH=071, Accuracy=81.600%, Adv_Accuracy=58.700%, FGSM_Accuracy=33.420%, PGD_Accuracy=35.6900%
EPOCH=072, Accuracy=82.330%, Adv_Accuracy=59.800%, FGSM_Accuracy=33.770%, PGD_Accuracy=36.5600%
EPOCH=073, Accuracy=82.350%, Adv_Accuracy=58.400%, FGSM_Accuracy=34.030%, PGD_Accuracy=36.3000%
EPOCH=074, Accuracy=82.410%, Adv_Accuracy=59.600%, FGSM_Accuracy=33.350%, PGD_Accuracy=35.0100%
EPOCH=075, Accuracy=81.900%, Adv_Accuracy=59.100%, FGSM_Accuracy=32.940%, PGD_Accuracy=34.9300%
EPOCH=076, Accuracy=82.360%, Adv_Accuracy=58.100%, FGSM_Accuracy=34.600%, PGD_Accuracy=37.2300%
EPOCH=077, Accuracy=81.660%, Adv_Accuracy=62.100%, FGSM_Accuracy=32.820%, PGD_Accuracy=35.3300%
EPOCH=078, Accuracy=82.120%, Adv_Accuracy=59.800%, FGSM_Accuracy=34.570%, PGD_Accuracy=36.8300%
EPOCH=079, Accuracy=82.490%, Adv_Accuracy=59.400%, FGSM_Accuracy=34.140%, PGD_Accuracy=35.8100%
EPOCH=080, Accuracy=82.550%, Adv_Accuracy=59.000%, FGSM_Accuracy=34.970%, PGD_Accuracy=36.5500%
EPOCH=081, Accuracy=81.710%, Adv_Accuracy=58.800%, FGSM_Accuracy=29.670%, PGD_Accuracy=31.7000%
EPOCH=082, Accuracy=82.870%, Adv_Accuracy=59.400%, FGSM_Accuracy=34.210%, PGD_Accuracy=35.8200%
EPOCH=083, Accuracy=83.390%, Adv_Accuracy=57.800%, FGSM_Accuracy=32.500%, PGD_Accuracy=35.3500%
EPOCH=084, Accuracy=83.110%, Adv_Accuracy=58.700%, FGSM_Accuracy=33.850%, PGD_Accuracy=36.4200%
EPOCH=085, Accuracy=82.390%, Adv_Accuracy=58.100%, FGSM_Accuracy=34.950%, PGD_Accuracy=38.3600%
EPOCH=086, Accuracy=83.590%, Adv_Accuracy=58.300%, FGSM_Accuracy=32.190%, PGD_Accuracy=35.2200%
EPOCH=087, Accuracy=82.840%, Adv_Accuracy=60.100%, FGSM_Accuracy=32.200%, PGD_Accuracy=34.2900%
EPOCH=088, Accuracy=82.700%, Adv_Accuracy=59.400%, FGSM_Accuracy=34.200%, PGD_Accuracy=37.0500%
EPOCH=089, Accuracy=82.770%, Adv_Accuracy=60.200%, FGSM_Accuracy=34.170%, PGD_Accuracy=37.5800%
EPOCH=090, Accuracy=82.890%, Adv_Accuracy=60.800%, FGSM_Accuracy=34.970%, PGD_Accuracy=36.4200%
EPOCH=091, Accuracy=83.150%, Adv_Accuracy=59.300%, FGSM_Accuracy=33.260%, PGD_Accuracy=36.0300%
EPOCH=092, Accuracy=83.340%, Adv_Accuracy=57.400%, FGSM_Accuracy=33.740%, PGD_Accuracy=35.3600%
EPOCH=093, Accuracy=83.040%, Adv_Accuracy=59.100%, FGSM_Accuracy=36.690%, PGD_Accuracy=39.3800%
EPOCH=094, Accuracy=83.480%, Adv_Accuracy=61.000%, FGSM_Accuracy=34.300%, PGD_Accuracy=37.6200%
EPOCH=095, Accuracy=84.120%, Adv_Accuracy=59.500%, FGSM_Accuracy=32.190%, PGD_Accuracy=34.1400%
EPOCH=096, Accuracy=83.440%, Adv_Accuracy=59.800%, FGSM_Accuracy=36.810%, PGD_Accuracy=39.3400%
EPOCH=097, Accuracy=83.700%, Adv_Accuracy=56.600%, FGSM_Accuracy=35.210%, PGD_Accuracy=38.0700%
EPOCH=098, Accuracy=83.630%, Adv_Accuracy=57.300%, FGSM_Accuracy=34.280%, PGD_Accuracy=37.0900%
EPOCH=099, Accuracy=83.350%, Adv_Accuracy=59.500%, FGSM_Accuracy=36.580%, PGD_Accuracy=38.9100%
EPOCH=100, Accuracy=83.550%, Adv_Accuracy=58.300%, FGSM_Accuracy=35.640%, PGD_Accuracy=38.0900%
EPOCH=101, Accuracy=83.990%, Adv_Accuracy=58.900%, FGSM_Accuracy=34.580%, PGD_Accuracy=37.1800%
EPOCH=102, Accuracy=83.770%, Adv_Accuracy=58.300%, FGSM_Accuracy=35.780%, PGD_Accuracy=38.3700%
EPOCH=103, Accuracy=84.170%, Adv_Accuracy=58.700%, FGSM_Accuracy=34.950%, PGD_Accuracy=36.5300%
EPOCH=104, Accuracy=84.150%, Adv_Accuracy=58.000%, FGSM_Accuracy=35.050%, PGD_Accuracy=37.4100%
EPOCH=105, Accuracy=84.220%, Adv_Accuracy=60.000%, FGSM_Accuracy=37.550%, PGD_Accuracy=39.6900%
EPOCH=106, Accuracy=84.730%, Adv_Accuracy=57.800%, FGSM_Accuracy=34.790%, PGD_Accuracy=37.0400%
EPOCH=107, Accuracy=84.280%, Adv_Accuracy=59.600%, FGSM_Accuracy=36.440%, PGD_Accuracy=38.3600%
EPOCH=108, Accuracy=84.340%, Adv_Accuracy=58.600%, FGSM_Accuracy=37.820%, PGD_Accuracy=40.5200%
EPOCH=109, Accuracy=83.660%, Adv_Accuracy=60.200%, FGSM_Accuracy=33.960%, PGD_Accuracy=36.6000%
EPOCH=110, Accuracy=84.410%, Adv_Accuracy=58.400%, FGSM_Accuracy=34.840%, PGD_Accuracy=36.7400%
EPOCH=111, Accuracy=83.700%, Adv_Accuracy=58.500%, FGSM_Accuracy=38.030%, PGD_Accuracy=40.8100%
EPOCH=112, Accuracy=83.810%, Adv_Accuracy=58.400%, FGSM_Accuracy=34.530%, PGD_Accuracy=36.7400%
EPOCH=113, Accuracy=85.000%, Adv_Accuracy=57.700%, FGSM_Accuracy=32.080%, PGD_Accuracy=35.3100%
EPOCH=114, Accuracy=84.250%, Adv_Accuracy=59.100%, FGSM_Accuracy=36.780%, PGD_Accuracy=39.0600%
EPOCH=115, Accuracy=84.530%, Adv_Accuracy=58.700%, FGSM_Accuracy=33.960%, PGD_Accuracy=36.3300%
EPOCH=116, Accuracy=84.560%, Adv_Accuracy=59.000%, FGSM_Accuracy=37.630%, PGD_Accuracy=39.1100%
EPOCH=117, Accuracy=84.450%, Adv_Accuracy=58.100%, FGSM_Accuracy=34.140%, PGD_Accuracy=36.2200%
EPOCH=118, Accuracy=84.970%, Adv_Accuracy=58.300%, FGSM_Accuracy=35.550%, PGD_Accuracy=38.1000%
EPOCH=119, Accuracy=84.440%, Adv_Accuracy=60.200%, FGSM_Accuracy=39.600%, PGD_Accuracy=41.5900%
EPOCH=120, Accuracy=84.720%, Adv_Accuracy=60.000%, FGSM_Accuracy=33.320%, PGD_Accuracy=35.9100%
EPOCH=121, Accuracy=84.910%, Adv_Accuracy=59.400%, FGSM_Accuracy=34.220%, PGD_Accuracy=37.3100%
EPOCH=122, Accuracy=84.160%, Adv_Accuracy=58.600%, FGSM_Accuracy=31.040%, PGD_Accuracy=33.8800%
EPOCH=123, Accuracy=85.060%, Adv_Accuracy=59.500%, FGSM_Accuracy=36.420%, PGD_Accuracy=39.2100%
EPOCH=124, Accuracy=84.470%, Adv_Accuracy=58.100%, FGSM_Accuracy=35.640%, PGD_Accuracy=38.1500%
EPOCH=125, Accuracy=84.710%, Adv_Accuracy=58.100%, FGSM_Accuracy=35.200%, PGD_Accuracy=37.8100%
EPOCH=126, Accuracy=84.620%, Adv_Accuracy=56.000%, FGSM_Accuracy=35.360%, PGD_Accuracy=38.0100%
EPOCH=127, Accuracy=85.060%, Adv_Accuracy=59.900%, FGSM_Accuracy=35.500%, PGD_Accuracy=38.2000%
