002  00119 |Loss: 1.973 | Acc: 21.053% 
002  00120 |Loss: 1.954 | Acc: 23.000% 
002  00121 |Loss: 1.976 | Acc: 22.381% 
002  00122 |Loss: 1.985 | Acc: 22.727% 
002  00123 |Loss: 1.997 | Acc: 22.174% 
002  00124 |Loss: 1.986 | Acc: 22.500% 
002  00125 |Loss: 1.970 | Acc: 24.000% 
002  00126 |Loss: 1.961 | Acc: 25.000% 
002  00127 |Loss: 1.961 | Acc: 24.444% 
002  00128 |Loss: 1.960 | Acc: 25.000% 
002  00129 |Loss: 1.960 | Acc: 24.828% 
002  00130 |Loss: 1.964 | Acc: 25.000% 
002  00131 |Loss: 1.961 | Acc: 24.516% 
002  00132 |Loss: 1.969 | Acc: 23.750% 
002  00133 |Loss: 1.958 | Acc: 24.242% 
002  00134 |Loss: 1.958 | Acc: 23.824% 
002  00135 |Loss: 1.960 | Acc: 23.714% 
002  00136 |Loss: 1.963 | Acc: 24.167% 
002  00137 |Loss: 1.956 | Acc: 24.595% 
002  00138 |Loss: 1.956 | Acc: 25.263% 
002  00139 |Loss: 1.957 | Acc: 25.385% 
002  00140 |Loss: 1.943 | Acc: 26.000% 
002  00141 |Loss: 1.955 | Acc: 26.098% 
002  00142 |Loss: 1.945 | Acc: 26.190% 
002  00143 |Loss: 1.947 | Acc: 25.814% 
002  00144 |Loss: 1.947 | Acc: 25.682% 
002  00145 |Loss: 1.949 | Acc: 25.778% 
002  00146 |Loss: 1.954 | Acc: 25.652% 
002  00147 |Loss: 1.951 | Acc: 25.745% 
002  00148 |Loss: 1.956 | Acc: 25.417% 
002  00149 |Loss: 1.951 | Acc: 25.510% 
002  00150 |Loss: 1.950 | Acc: 25.400% 
002  00151 |Loss: 1.954 | Acc: 25.294% 
002  00152 |Loss: 1.965 | Acc: 25.000% 
002  00153 |Loss: 1.966 | Acc: 25.094% 
002  00154 |Loss: 1.968 | Acc: 25.000% 
002  00155 |Loss: 1.972 | Acc: 24.727% 
002  00156 |Loss: 1.980 | Acc: 24.464% 
002  00157 |Loss: 1.973 | Acc: 24.912% 
002  00158 |Loss: 1.986 | Acc: 24.483% 
