EPOCH=049, Accuracy=55.430%, Adv_Accuracy=78.200%, FGSM_Accuracy=35.330%, PGD_Accuracy=36.4100%
EPOCH=050, Accuracy=57.840%, Adv_Accuracy=88.700%, FGSM_Accuracy=35.740%, PGD_Accuracy=36.4700%
EPOCH=051, Accuracy=57.120%, Adv_Accuracy=91.000%, FGSM_Accuracy=34.760%, PGD_Accuracy=34.8800%
EPOCH=052, Accuracy=53.610%, Adv_Accuracy=84.700%, FGSM_Accuracy=35.400%, PGD_Accuracy=34.2900%
EPOCH=053, Accuracy=53.350%, Adv_Accuracy=84.700%, FGSM_Accuracy=34.420%, PGD_Accuracy=34.4000%
EPOCH=054, Accuracy=56.870%, Adv_Accuracy=82.600%, FGSM_Accuracy=37.560%, PGD_Accuracy=37.6300%
EPOCH=055, Accuracy=56.490%, Adv_Accuracy=87.200%, FGSM_Accuracy=34.660%, PGD_Accuracy=34.5700%
EPOCH=056, Accuracy=56.930%, Adv_Accuracy=91.600%, FGSM_Accuracy=28.220%, PGD_Accuracy=28.1800%
EPOCH=057, Accuracy=59.260%, Adv_Accuracy=90.700%, FGSM_Accuracy=38.210%, PGD_Accuracy=37.9500%
EPOCH=058, Accuracy=53.870%, Adv_Accuracy=85.000%, FGSM_Accuracy=34.840%, PGD_Accuracy=35.0600%
EPOCH=059, Accuracy=58.440%, Adv_Accuracy=93.100%, FGSM_Accuracy=30.040%, PGD_Accuracy=30.5700%
EPOCH=060, Accuracy=57.390%, Adv_Accuracy=89.400%, FGSM_Accuracy=35.350%, PGD_Accuracy=36.3200%
EPOCH=061, Accuracy=57.590%, Adv_Accuracy=92.500%, FGSM_Accuracy=32.170%, PGD_Accuracy=32.6600%
EPOCH=062, Accuracy=55.110%, Adv_Accuracy=91.200%, FGSM_Accuracy=31.740%, PGD_Accuracy=31.9600%
EPOCH=063, Accuracy=57.120%, Adv_Accuracy=86.400%, FGSM_Accuracy=37.460%, PGD_Accuracy=37.4200%
EPOCH=064, Accuracy=56.720%, Adv_Accuracy=92.300%, FGSM_Accuracy=34.440%, PGD_Accuracy=34.8900%
EPOCH=065, Accuracy=57.330%, Adv_Accuracy=92.700%, FGSM_Accuracy=36.310%, PGD_Accuracy=36.8100%
EPOCH=066, Accuracy=51.970%, Adv_Accuracy=88.900%, FGSM_Accuracy=32.720%, PGD_Accuracy=32.9400%
EPOCH=067, Accuracy=56.120%, Adv_Accuracy=91.800%, FGSM_Accuracy=31.240%, PGD_Accuracy=31.3000%
EPOCH=068, Accuracy=58.220%, Adv_Accuracy=92.000%, FGSM_Accuracy=37.360%, PGD_Accuracy=38.6800%
EPOCH=069, Accuracy=56.170%, Adv_Accuracy=92.100%, FGSM_Accuracy=29.040%, PGD_Accuracy=29.1300%
EPOCH=070, Accuracy=56.930%, Adv_Accuracy=91.600%, FGSM_Accuracy=36.100%, PGD_Accuracy=35.5300%
EPOCH=071, Accuracy=58.740%, Adv_Accuracy=94.200%, FGSM_Accuracy=35.520%, PGD_Accuracy=35.5500%
EPOCH=072, Accuracy=56.530%, Adv_Accuracy=95.000%, FGSM_Accuracy=34.050%, PGD_Accuracy=34.5200%
EPOCH=073, Accuracy=55.350%, Adv_Accuracy=92.100%, FGSM_Accuracy=36.150%, PGD_Accuracy=35.9700%
EPOCH=074, Accuracy=56.530%, Adv_Accuracy=95.500%, FGSM_Accuracy=33.350%, PGD_Accuracy=33.2400%
EPOCH=075, Accuracy=56.120%, Adv_Accuracy=94.100%, FGSM_Accuracy=33.220%, PGD_Accuracy=33.3700%
EPOCH=076, Accuracy=58.500%, Adv_Accuracy=94.300%, FGSM_Accuracy=32.440%, PGD_Accuracy=32.6000%
EPOCH=077, Accuracy=55.210%, Adv_Accuracy=90.900%, FGSM_Accuracy=30.070%, PGD_Accuracy=30.4500%
EPOCH=078, Accuracy=58.520%, Adv_Accuracy=97.100%, FGSM_Accuracy=36.200%, PGD_Accuracy=36.4400%
EPOCH=079, Accuracy=57.370%, Adv_Accuracy=96.700%, FGSM_Accuracy=33.570%, PGD_Accuracy=33.9800%
EPOCH=080, Accuracy=56.210%, Adv_Accuracy=94.100%, FGSM_Accuracy=35.650%, PGD_Accuracy=36.0000%
EPOCH=081, Accuracy=59.670%, Adv_Accuracy=96.300%, FGSM_Accuracy=36.890%, PGD_Accuracy=37.2300%
EPOCH=082, Accuracy=58.850%, Adv_Accuracy=94.600%, FGSM_Accuracy=35.020%, PGD_Accuracy=34.9200%
EPOCH=083, Accuracy=55.810%, Adv_Accuracy=89.100%, FGSM_Accuracy=29.300%, PGD_Accuracy=28.8500%
EPOCH=084, Accuracy=57.900%, Adv_Accuracy=96.900%, FGSM_Accuracy=33.320%, PGD_Accuracy=33.5400%
EPOCH=085, Accuracy=56.130%, Adv_Accuracy=91.500%, FGSM_Accuracy=30.900%, PGD_Accuracy=31.6500%
EPOCH=086, Accuracy=56.540%, Adv_Accuracy=94.800%, FGSM_Accuracy=34.330%, PGD_Accuracy=34.5500%
EPOCH=087, Accuracy=59.140%, Adv_Accuracy=98.200%, FGSM_Accuracy=36.410%, PGD_Accuracy=35.8800%
EPOCH=088, Accuracy=56.690%, Adv_Accuracy=94.600%, FGSM_Accuracy=32.860%, PGD_Accuracy=32.6400%
EPOCH=089, Accuracy=57.280%, Adv_Accuracy=93.400%, FGSM_Accuracy=35.080%, PGD_Accuracy=35.3000%
EPOCH=090, Accuracy=57.190%, Adv_Accuracy=95.800%, FGSM_Accuracy=33.430%, PGD_Accuracy=34.1000%
EPOCH=091, Accuracy=58.550%, Adv_Accuracy=95.500%, FGSM_Accuracy=33.300%, PGD_Accuracy=33.2800%
EPOCH=092, Accuracy=58.440%, Adv_Accuracy=96.900%, FGSM_Accuracy=35.260%, PGD_Accuracy=34.8900%
EPOCH=093, Accuracy=60.110%, Adv_Accuracy=95.200%, FGSM_Accuracy=31.110%, PGD_Accuracy=32.0200%
EPOCH=094, Accuracy=52.700%, Adv_Accuracy=88.300%, FGSM_Accuracy=29.560%, PGD_Accuracy=29.1300%
EPOCH=095, Accuracy=58.940%, Adv_Accuracy=96.600%, FGSM_Accuracy=35.330%, PGD_Accuracy=34.3300%
EPOCH=096, Accuracy=57.710%, Adv_Accuracy=93.500%, FGSM_Accuracy=35.510%, PGD_Accuracy=34.3600%
EPOCH=097, Accuracy=56.680%, Adv_Accuracy=94.400%, FGSM_Accuracy=35.070%, PGD_Accuracy=34.6000%
EPOCH=098, Accuracy=56.800%, Adv_Accuracy=95.400%, FGSM_Accuracy=36.390%, PGD_Accuracy=37.0300%
EPOCH=099, Accuracy=56.990%, Adv_Accuracy=96.000%, FGSM_Accuracy=32.720%, PGD_Accuracy=32.2800%
EPOCH=100, Accuracy=56.650%, Adv_Accuracy=89.700%, FGSM_Accuracy=33.520%, PGD_Accuracy=33.4400%
EPOCH=101, Accuracy=53.910%, Adv_Accuracy=92.200%, FGSM_Accuracy=32.670%, PGD_Accuracy=32.7400%
EPOCH=102, Accuracy=58.180%, Adv_Accuracy=96.500%, FGSM_Accuracy=33.830%, PGD_Accuracy=34.5500%
EPOCH=103, Accuracy=58.950%, Adv_Accuracy=96.700%, FGSM_Accuracy=37.380%, PGD_Accuracy=37.4700%
EPOCH=104, Accuracy=60.140%, Adv_Accuracy=96.000%, FGSM_Accuracy=36.250%, PGD_Accuracy=36.1000%
EPOCH=105, Accuracy=57.580%, Adv_Accuracy=95.900%, FGSM_Accuracy=35.980%, PGD_Accuracy=35.9200%
EPOCH=106, Accuracy=57.890%, Adv_Accuracy=96.100%, FGSM_Accuracy=35.390%, PGD_Accuracy=36.3400%
EPOCH=107, Accuracy=59.080%, Adv_Accuracy=96.100%, FGSM_Accuracy=34.320%, PGD_Accuracy=35.2600%
