001  00119 |Loss: 2.077 | Acc: 21.394% 
001  00120 |Loss: 2.074 | Acc: 21.535% 
001  00121 |Loss: 2.072 | Acc: 21.625% 
001  00122 |Loss: 2.071 | Acc: 21.660% 
001  00123 |Loss: 2.068 | Acc: 21.755% 
001  00124 |Loss: 2.066 | Acc: 21.821% 
001  00125 |Loss: 2.064 | Acc: 21.920% 
001  00126 |Loss: 2.062 | Acc: 21.944% 
001  00127 |Loss: 2.060 | Acc: 22.008% 
001  00128 |Loss: 2.058 | Acc: 22.064% 
001  00129 |Loss: 2.056 | Acc: 22.138% 
001  00130 |Loss: 2.054 | Acc: 22.192% 
001  00131 |Loss: 2.052 | Acc: 22.226% 
001  00132 |Loss: 2.050 | Acc: 22.311% 
001  00133 |Loss: 2.048 | Acc: 22.393% 
001  00134 |Loss: 2.046 | Acc: 22.463% 
001  00135 |Loss: 2.043 | Acc: 22.593% 
001  00136 |Loss: 2.040 | Acc: 22.727% 
001  00137 |Loss: 2.037 | Acc: 22.865% 
001  00138 |Loss: 2.035 | Acc: 22.929% 
001  00139 |Loss: 2.033 | Acc: 23.004% 
001  00140 |Loss: 2.030 | Acc: 23.143% 
001  00141 |Loss: 2.028 | Acc: 23.174% 
001  00142 |Loss: 2.027 | Acc: 23.210% 
001  00143 |Loss: 2.025 | Acc: 23.281% 
001  00144 |Loss: 2.023 | Acc: 23.339% 
001  00145 |Loss: 2.022 | Acc: 23.379% 
001  00146 |Loss: 2.020 | Acc: 23.425% 
001  00147 |Loss: 2.018 | Acc: 23.498% 
001  00148 |Loss: 2.016 | Acc: 23.587% 
001  00149 |Loss: 2.014 | Acc: 23.686% 
001  00150 |Loss: 2.013 | Acc: 23.739% 
001  00151 |Loss: 2.011 | Acc: 23.847% 
001  00152 |Loss: 2.009 | Acc: 23.904% 
001  00153 |Loss: 2.007 | Acc: 23.965% 
001  00154 |Loss: 2.006 | Acc: 24.042% 
001  00155 |Loss: 2.004 | Acc: 24.102% 
001  00156 |Loss: 2.001 | Acc: 24.183% 
001  00157 |Loss: 1.999 | Acc: 24.268% 
001  00158 |Loss: 1.999 | Acc: 24.309% 
001  00159 |Loss: 1.997 | Acc: 24.429% 
001  00160 |Loss: 1.996 | Acc: 24.490% 
001  00161 |Loss: 1.992 | Acc: 24.586% 
001  00162 |Loss: 1.991 | Acc: 24.660% 
001  00163 |Loss: 1.990 | Acc: 24.724% 
001  00164 |Loss: 1.988 | Acc: 24.812% 
001  00165 |Loss: 1.986 | Acc: 24.889% 
001  00166 |Loss: 1.984 | Acc: 25.000% 
001  00167 |Loss: 1.983 | Acc: 25.050% 
001  00168 |Loss: 1.981 | Acc: 25.109% 
001  00169 |Loss: 1.979 | Acc: 25.163% 
001  00170 |Loss: 1.977 | Acc: 25.225% 
001  00171 |Loss: 1.976 | Acc: 25.278% 
001  00172 |Loss: 1.974 | Acc: 25.325% 
001  00173 |Loss: 1.973 | Acc: 25.342% 
001  00174 |Loss: 1.971 | Acc: 25.431% 
001  00175 |Loss: 1.969 | Acc: 25.476% 
001  00176 |Loss: 1.968 | Acc: 25.568% 
001  00177 |Loss: 1.966 | Acc: 25.626% 
001  00178 |Loss: 1.965 | Acc: 25.688% 
001  00179 |Loss: 1.963 | Acc: 25.745% 
001  00180 |Loss: 1.962 | Acc: 25.810% 
001  00181 |Loss: 1.961 | Acc: 25.843% 
001  00182 |Loss: 1.960 | Acc: 25.893% 
001  00183 |Loss: 1.958 | Acc: 25.961% 
001  00184 |Loss: 1.956 | Acc: 26.055% 
001  00185 |Loss: 1.955 | Acc: 26.095% 
001  00186 |Loss: 1.953 | Acc: 26.160% 
001  00187 |Loss: 1.952 | Acc: 26.199% 
001  00188 |Loss: 1.952 | Acc: 26.206% 
001  00189 |Loss: 1.951 | Acc: 26.235% 
001  00190 |Loss: 1.950 | Acc: 26.254% 
001  00191 |Loss: 1.949 | Acc: 26.318% 
001  00192 |Loss: 1.949 | Acc: 26.367% 
001  00193 |Loss: 1.948 | Acc: 26.403% 
001  00194 |Loss: 1.947 | Acc: 26.456% 
001  00195 |Loss: 1.945 | Acc: 26.530% 
001  00196 |Loss: 1.945 | Acc: 26.543% 
001  00197 |Loss: 1.943 | Acc: 26.658% 
001  00198 |Loss: 1.941 | Acc: 26.717% 
001  00199 |Loss: 1.941 | Acc: 26.746% 
001  00200 |Loss: 1.940 | Acc: 26.808% 
001  00201 |Loss: 1.939 | Acc: 26.853% 
001  00202 |Loss: 1.938 | Acc: 26.914% 
001  00203 |Loss: 1.937 | Acc: 26.966% 
001  00204 |Loss: 1.935 | Acc: 27.092% 
001  00205 |Loss: 1.934 | Acc: 27.122% 
001  00206 |Loss: 1.933 | Acc: 27.152% 
001  00207 |Loss: 1.932 | Acc: 27.174% 
001  00208 |Loss: 1.930 | Acc: 27.232% 
001  00209 |Loss: 1.929 | Acc: 27.297% 
001  00210 |Loss: 1.927 | Acc: 27.373% 
001  00211 |Loss: 1.925 | Acc: 27.453% 
