EPOCH=049, Accuracy=61.220%, Adv_Accuracy=54.300%, FGSM_Accuracy=64.410%, PGD_Accuracy=64.9000%
EPOCH=050, Accuracy=57.010%, Adv_Accuracy=48.400%, FGSM_Accuracy=60.660%, PGD_Accuracy=61.2700%
EPOCH=051, Accuracy=63.570%, Adv_Accuracy=56.000%, FGSM_Accuracy=65.710%, PGD_Accuracy=66.6700%
EPOCH=052, Accuracy=59.680%, Adv_Accuracy=51.600%, FGSM_Accuracy=68.250%, PGD_Accuracy=68.7800%
EPOCH=053, Accuracy=63.710%, Adv_Accuracy=52.600%, FGSM_Accuracy=68.340%, PGD_Accuracy=69.5500%
EPOCH=054, Accuracy=64.920%, Adv_Accuracy=56.800%, FGSM_Accuracy=68.870%, PGD_Accuracy=69.9500%
EPOCH=055, Accuracy=62.010%, Adv_Accuracy=54.700%, FGSM_Accuracy=66.560%, PGD_Accuracy=67.7200%
EPOCH=056, Accuracy=62.240%, Adv_Accuracy=54.100%, FGSM_Accuracy=64.830%, PGD_Accuracy=65.8900%
EPOCH=057, Accuracy=64.300%, Adv_Accuracy=53.200%, FGSM_Accuracy=68.040%, PGD_Accuracy=69.0900%
EPOCH=058, Accuracy=57.600%, Adv_Accuracy=47.400%, FGSM_Accuracy=64.940%, PGD_Accuracy=65.6200%
EPOCH=059, Accuracy=65.150%, Adv_Accuracy=54.500%, FGSM_Accuracy=68.120%, PGD_Accuracy=68.6500%
EPOCH=060, Accuracy=60.610%, Adv_Accuracy=50.200%, FGSM_Accuracy=66.830%, PGD_Accuracy=68.7000%
EPOCH=061, Accuracy=58.760%, Adv_Accuracy=49.000%, FGSM_Accuracy=59.930%, PGD_Accuracy=61.7400%
EPOCH=062, Accuracy=64.690%, Adv_Accuracy=53.800%, FGSM_Accuracy=69.680%, PGD_Accuracy=70.2400%
EPOCH=063, Accuracy=65.780%, Adv_Accuracy=57.000%, FGSM_Accuracy=66.690%, PGD_Accuracy=67.6800%
EPOCH=064, Accuracy=64.280%, Adv_Accuracy=52.700%, FGSM_Accuracy=68.300%, PGD_Accuracy=69.2200%
EPOCH=065, Accuracy=54.370%, Adv_Accuracy=40.300%, FGSM_Accuracy=63.410%, PGD_Accuracy=65.4100%
EPOCH=066, Accuracy=62.800%, Adv_Accuracy=52.600%, FGSM_Accuracy=69.500%, PGD_Accuracy=70.7900%
EPOCH=067, Accuracy=61.680%, Adv_Accuracy=48.500%, FGSM_Accuracy=63.070%, PGD_Accuracy=65.0100%
EPOCH=068, Accuracy=63.350%, Adv_Accuracy=53.500%, FGSM_Accuracy=65.410%, PGD_Accuracy=66.9700%
EPOCH=069, Accuracy=57.820%, Adv_Accuracy=47.500%, FGSM_Accuracy=65.540%, PGD_Accuracy=67.2500%
EPOCH=070, Accuracy=62.080%, Adv_Accuracy=52.000%, FGSM_Accuracy=67.990%, PGD_Accuracy=69.2800%
EPOCH=071, Accuracy=59.470%, Adv_Accuracy=50.300%, FGSM_Accuracy=66.310%, PGD_Accuracy=67.2800%
EPOCH=072, Accuracy=65.800%, Adv_Accuracy=56.600%, FGSM_Accuracy=67.780%, PGD_Accuracy=68.6200%
EPOCH=073, Accuracy=63.900%, Adv_Accuracy=52.900%, FGSM_Accuracy=67.650%, PGD_Accuracy=69.2400%
