EPOCH=071, Accuracy=62.420%, Adv_Accuracy=59.200%, FGSM_Accuracy=47.290%, PGD_Accuracy=47.1800%
EPOCH=072, Accuracy=62.150%, Adv_Accuracy=61.000%, FGSM_Accuracy=46.050%, PGD_Accuracy=45.7700%
EPOCH=073, Accuracy=62.490%, Adv_Accuracy=61.000%, FGSM_Accuracy=44.860%, PGD_Accuracy=45.2600%
EPOCH=074, Accuracy=62.780%, Adv_Accuracy=60.000%, FGSM_Accuracy=48.390%, PGD_Accuracy=48.0900%
EPOCH=075, Accuracy=62.230%, Adv_Accuracy=62.600%, FGSM_Accuracy=45.890%, PGD_Accuracy=45.9500%
EPOCH=076, Accuracy=61.580%, Adv_Accuracy=59.200%, FGSM_Accuracy=46.510%, PGD_Accuracy=46.4000%
EPOCH=077, Accuracy=61.900%, Adv_Accuracy=61.100%, FGSM_Accuracy=47.280%, PGD_Accuracy=48.3600%
EPOCH=078, Accuracy=62.190%, Adv_Accuracy=59.300%, FGSM_Accuracy=45.770%, PGD_Accuracy=46.4600%
EPOCH=079, Accuracy=61.020%, Adv_Accuracy=59.100%, FGSM_Accuracy=45.020%, PGD_Accuracy=45.5400%
EPOCH=080, Accuracy=61.440%, Adv_Accuracy=60.400%, FGSM_Accuracy=45.500%, PGD_Accuracy=45.2500%
EPOCH=081, Accuracy=62.430%, Adv_Accuracy=60.900%, FGSM_Accuracy=47.300%, PGD_Accuracy=47.4600%
EPOCH=082, Accuracy=63.370%, Adv_Accuracy=62.700%, FGSM_Accuracy=48.950%, PGD_Accuracy=48.8800%
EPOCH=083, Accuracy=62.230%, Adv_Accuracy=61.300%, FGSM_Accuracy=48.690%, PGD_Accuracy=48.6300%
EPOCH=084, Accuracy=63.350%, Adv_Accuracy=63.500%, FGSM_Accuracy=49.500%, PGD_Accuracy=49.4600%
EPOCH=085, Accuracy=62.970%, Adv_Accuracy=60.800%, FGSM_Accuracy=48.680%, PGD_Accuracy=48.7200%
EPOCH=086, Accuracy=62.720%, Adv_Accuracy=61.500%, FGSM_Accuracy=48.240%, PGD_Accuracy=49.1300%
EPOCH=087, Accuracy=63.040%, Adv_Accuracy=62.800%, FGSM_Accuracy=46.420%, PGD_Accuracy=46.9000%
EPOCH=088, Accuracy=62.910%, Adv_Accuracy=61.100%, FGSM_Accuracy=50.310%, PGD_Accuracy=50.0300%
EPOCH=089, Accuracy=63.210%, Adv_Accuracy=62.700%, FGSM_Accuracy=47.940%, PGD_Accuracy=48.6100%
EPOCH=090, Accuracy=63.610%, Adv_Accuracy=61.800%, FGSM_Accuracy=49.710%, PGD_Accuracy=49.9100%
EPOCH=091, Accuracy=62.800%, Adv_Accuracy=60.900%, FGSM_Accuracy=46.770%, PGD_Accuracy=46.8300%
EPOCH=092, Accuracy=63.450%, Adv_Accuracy=62.500%, FGSM_Accuracy=47.560%, PGD_Accuracy=47.5900%
EPOCH=093, Accuracy=62.500%, Adv_Accuracy=60.900%, FGSM_Accuracy=47.890%, PGD_Accuracy=48.2000%
EPOCH=094, Accuracy=61.340%, Adv_Accuracy=60.200%, FGSM_Accuracy=48.510%, PGD_Accuracy=48.5400%
EPOCH=095, Accuracy=63.770%, Adv_Accuracy=64.000%, FGSM_Accuracy=49.480%, PGD_Accuracy=49.2300%
EPOCH=096, Accuracy=63.160%, Adv_Accuracy=62.600%, FGSM_Accuracy=47.660%, PGD_Accuracy=47.4900%
EPOCH=097, Accuracy=63.800%, Adv_Accuracy=62.300%, FGSM_Accuracy=49.480%, PGD_Accuracy=49.5300%
EPOCH=098, Accuracy=62.740%, Adv_Accuracy=62.300%, FGSM_Accuracy=49.830%, PGD_Accuracy=49.6400%
EPOCH=099, Accuracy=64.680%, Adv_Accuracy=64.200%, FGSM_Accuracy=51.710%, PGD_Accuracy=51.9700%
EPOCH=100, Accuracy=64.150%, Adv_Accuracy=62.400%, FGSM_Accuracy=51.050%, PGD_Accuracy=50.7300%
