053  20333 |Loss: 1.793 | Acc: 29.688% 
053  20334 |Loss: 1.773 | Acc: 35.938% 
053  20335 |Loss: 1.762 | Acc: 36.979% 
053  20336 |Loss: 1.746 | Acc: 37.500% 
053  20337 |Loss: 1.760 | Acc: 35.781% 
053  20338 |Loss: 1.738 | Acc: 35.807% 
053  20339 |Loss: 1.746 | Acc: 36.384% 
053  20340 |Loss: 1.754 | Acc: 36.230% 
053  20341 |Loss: 1.744 | Acc: 36.458% 
053  20342 |Loss: 1.748 | Acc: 35.938% 
053  20343 |Loss: 1.746 | Acc: 35.866% 
053  20344 |Loss: 1.753 | Acc: 35.286% 
053  20345 |Loss: 1.750 | Acc: 35.397% 
053  20346 |Loss: 1.746 | Acc: 35.435% 
053  20347 |Loss: 1.744 | Acc: 35.885% 
053  20348 |Loss: 1.746 | Acc: 35.693% 
053  20349 |Loss: 1.743 | Acc: 35.800% 
053  20350 |Loss: 1.744 | Acc: 35.807% 
053  20351 |Loss: 1.747 | Acc: 35.691% 
053  20352 |Loss: 1.744 | Acc: 35.781% 
053  20353 |Loss: 1.743 | Acc: 35.751% 
053  20354 |Loss: 1.740 | Acc: 35.440% 
053  20355 |Loss: 1.735 | Acc: 35.598% 
053  20356 |Loss: 1.736 | Acc: 35.417% 
053  20357 |Loss: 1.738 | Acc: 35.062% 
053  20358 |Loss: 1.735 | Acc: 35.216% 
053  20359 |Loss: 1.737 | Acc: 35.069% 
053  20360 |Loss: 1.735 | Acc: 35.017% 
053  20361 |Loss: 1.736 | Acc: 34.968% 
053  20362 |Loss: 1.731 | Acc: 35.234% 
053  20363 |Loss: 1.733 | Acc: 35.307% 
053  20364 |Loss: 1.731 | Acc: 35.620% 
053  20365 |Loss: 1.730 | Acc: 35.653% 
053  20366 |Loss: 1.729 | Acc: 35.685% 
053  20367 |Loss: 1.728 | Acc: 35.625% 
053  20368 |Loss: 1.729 | Acc: 35.569% 
053  20369 |Loss: 1.727 | Acc: 35.621% 
053  20370 |Loss: 1.726 | Acc: 35.588% 
053  20371 |Loss: 1.729 | Acc: 35.337% 
053  20372 |Loss: 1.731 | Acc: 35.234% 
053  20373 |Loss: 1.737 | Acc: 35.023% 
053  20374 |Loss: 1.735 | Acc: 35.138% 
053  20375 |Loss: 1.736 | Acc: 35.120% 
053  20376 |Loss: 1.741 | Acc: 34.961% 
053  20377 |Loss: 1.740 | Acc: 35.017% 
053  20378 |Loss: 1.736 | Acc: 35.207% 
053  20379 |Loss: 1.733 | Acc: 35.439% 
053  20380 |Loss: 1.732 | Acc: 35.596% 
053  20381 |Loss: 1.735 | Acc: 35.523% 
053  20382 |Loss: 1.733 | Acc: 35.609% 
053  20383 |Loss: 1.732 | Acc: 35.646% 
053  20384 |Loss: 1.734 | Acc: 35.577% 
053  20385 |Loss: 1.734 | Acc: 35.525% 
053  20386 |Loss: 1.734 | Acc: 35.518% 
053  20387 |Loss: 1.733 | Acc: 35.597% 
053  20388 |Loss: 1.731 | Acc: 35.672% 
053  20389 |Loss: 1.731 | Acc: 35.691% 
053  20390 |Loss: 1.732 | Acc: 35.628% 
053  20391 |Loss: 1.732 | Acc: 35.712% 
053  20392 |Loss: 1.732 | Acc: 35.703% 
053  20393 |Loss: 1.731 | Acc: 35.669% 
053  20394 |Loss: 1.730 | Acc: 35.673% 
053  20395 |Loss: 1.729 | Acc: 35.764% 
053  20396 |Loss: 1.728 | Acc: 35.754% 
053  20397 |Loss: 1.730 | Acc: 35.733% 
053  20398 |Loss: 1.731 | Acc: 35.677% 
053  20399 |Loss: 1.732 | Acc: 35.588% 
053  20400 |Loss: 1.729 | Acc: 35.765% 
053  20401 |Loss: 1.730 | Acc: 35.722% 
053  20402 |Loss: 1.730 | Acc: 35.781% 
053  20403 |Loss: 1.730 | Acc: 35.728% 
053  20404 |Loss: 1.730 | Acc: 35.731% 
053  20405 |Loss: 1.730 | Acc: 35.745% 
053  20406 |Loss: 1.732 | Acc: 35.610% 
053  20407 |Loss: 1.733 | Acc: 35.625% 
053  20408 |Loss: 1.735 | Acc: 35.557% 
053  20409 |Loss: 1.735 | Acc: 35.582% 
053  20410 |Loss: 1.735 | Acc: 35.607% 
053  20411 |Loss: 1.735 | Acc: 35.562% 
053  20412 |Loss: 1.736 | Acc: 35.459% 
053  20413 |Loss: 1.735 | Acc: 35.475% 
053  20414 |Loss: 1.735 | Acc: 35.442% 
053  20415 |Loss: 1.734 | Acc: 35.533% 
053  20416 |Loss: 1.734 | Acc: 35.500% 
053  20417 |Loss: 1.735 | Acc: 35.515% 
053  20418 |Loss: 1.734 | Acc: 35.511% 
053  20419 |Loss: 1.735 | Acc: 35.444% 
053  20420 |Loss: 1.737 | Acc: 35.352% 
053  20421 |Loss: 1.738 | Acc: 35.332% 
053  20422 |Loss: 1.737 | Acc: 35.373% 
053  20423 |Loss: 1.738 | Acc: 35.354% 
053  20424 |Loss: 1.738 | Acc: 35.335% 
053  20425 |Loss: 1.738 | Acc: 35.383% 
053  20426 |Loss: 1.739 | Acc: 35.339% 
053  20427 |Loss: 1.740 | Acc: 35.255% 
053  20428 |Loss: 1.740 | Acc: 35.286% 
053  20429 |Loss: 1.739 | Acc: 35.277% 
053  20430 |Loss: 1.740 | Acc: 35.300% 
053  20431 |Loss: 1.739 | Acc: 35.275% 
053  20432 |Loss: 1.739 | Acc: 35.344% 
053  20433 |Loss: 1.738 | Acc: 35.373% 
053  20434 |Loss: 1.738 | Acc: 35.348% 
053  20435 |Loss: 1.739 | Acc: 35.293% 
053  20436 |Loss: 1.740 | Acc: 35.231% 
053  20437 |Loss: 1.739 | Acc: 35.312% 
053  20438 |Loss: 1.740 | Acc: 35.326% 
053  20439 |Loss: 1.740 | Acc: 35.295% 
053  20440 |Loss: 1.741 | Acc: 35.236% 
053  20441 |Loss: 1.743 | Acc: 35.192% 
053  20442 |Loss: 1.743 | Acc: 35.192% 
053  20443 |Loss: 1.743 | Acc: 35.184% 
053  20444 |Loss: 1.743 | Acc: 35.121% 
053  20445 |Loss: 1.742 | Acc: 35.094% 
053  20446 |Loss: 1.741 | Acc: 35.177% 
053  20447 |Loss: 1.741 | Acc: 35.149% 
053  20448 |Loss: 1.742 | Acc: 35.190% 
053  20449 |Loss: 1.741 | Acc: 35.230% 
053  20450 |Loss: 1.742 | Acc: 35.203% 
053  20451 |Loss: 1.741 | Acc: 35.202% 
053  20452 |Loss: 1.742 | Acc: 35.182% 
053  20453 |Loss: 1.742 | Acc: 35.150% 
053  20454 |Loss: 1.742 | Acc: 35.143% 
053  20455 |Loss: 1.742 | Acc: 35.124% 
053  20456 |Loss: 1.743 | Acc: 35.055% 
053  20457 |Loss: 1.743 | Acc: 35.013% 
053  20458 |Loss: 1.743 | Acc: 35.051% 
053  20459 |Loss: 1.743 | Acc: 35.046% 
053  20460 |Loss: 1.743 | Acc: 35.034% 
053  20461 |Loss: 1.743 | Acc: 35.059% 
053  20462 |Loss: 1.743 | Acc: 35.042% 
053  20463 |Loss: 1.744 | Acc: 35.007% 
053  20464 |Loss: 1.744 | Acc: 34.991% 
053  20465 |Loss: 1.744 | Acc: 35.027% 
053  20466 |Loss: 1.744 | Acc: 34.993% 
053  20467 |Loss: 1.744 | Acc: 35.006% 
053  20468 |Loss: 1.744 | Acc: 35.007% 
053  20469 |Loss: 1.743 | Acc: 35.036% 
053  20470 |Loss: 1.743 | Acc: 35.071% 
053  20471 |Loss: 1.742 | Acc: 35.134% 
053  20472 |Loss: 1.742 | Acc: 35.117% 
053  20473 |Loss: 1.743 | Acc: 35.117% 
053  20474 |Loss: 1.743 | Acc: 35.101% 
053  20475 |Loss: 1.742 | Acc: 35.123% 
053  20476 |Loss: 1.742 | Acc: 35.124% 
053  20477 |Loss: 1.742 | Acc: 35.135% 
053  20478 |Loss: 1.743 | Acc: 35.097% 
053  20479 |Loss: 1.742 | Acc: 35.114% 
053  20480 |Loss: 1.743 | Acc: 35.109% 
053  20481 |Loss: 1.743 | Acc: 35.130% 
053  20482 |Loss: 1.743 | Acc: 35.172% 
053  20483 |Loss: 1.743 | Acc: 35.177% 
053  20484 |Loss: 1.743 | Acc: 35.203% 
053  20485 |Loss: 1.744 | Acc: 35.202% 
053  20486 |Loss: 1.745 | Acc: 35.166% 
053  20487 |Loss: 1.745 | Acc: 35.136% 
053  20488 |Loss: 1.746 | Acc: 35.136% 
053  20489 |Loss: 1.746 | Acc: 35.126% 
053  20490 |Loss: 1.745 | Acc: 35.156% 
053  20491 |Loss: 1.745 | Acc: 35.235% 
053  20492 |Loss: 1.746 | Acc: 35.205% 
053  20493 |Loss: 1.746 | Acc: 35.190% 
053  20494 |Loss: 1.745 | Acc: 35.238% 
053  20495 |Loss: 1.746 | Acc: 35.257% 
053  20496 |Loss: 1.746 | Acc: 35.256% 
053  20497 |Loss: 1.746 | Acc: 35.227% 
053  20498 |Loss: 1.746 | Acc: 35.217% 
053  20499 |Loss: 1.746 | Acc: 35.226% 
053  20500 |Loss: 1.746 | Acc: 35.235% 
053  20501 |Loss: 1.746 | Acc: 35.267% 
053  20502 |Loss: 1.746 | Acc: 35.257% 
053  20503 |Loss: 1.745 | Acc: 35.234% 
053  20504 |Loss: 1.745 | Acc: 35.256% 
053  20505 |Loss: 1.745 | Acc: 35.247% 
053  20506 |Loss: 1.745 | Acc: 35.260% 
053  20507 |Loss: 1.745 | Acc: 35.259% 
053  20508 |Loss: 1.745 | Acc: 35.276% 
053  20509 |Loss: 1.746 | Acc: 35.200% 
053  20510 |Loss: 1.746 | Acc: 35.183% 
053  20511 |Loss: 1.746 | Acc: 35.196% 
053  20512 |Loss: 1.747 | Acc: 35.169% 
053  20513 |Loss: 1.747 | Acc: 35.156% 
053  20514 |Loss: 1.747 | Acc: 35.130% 
053  20515 |Loss: 1.747 | Acc: 35.131% 
053  20516 |Loss: 1.748 | Acc: 35.110% 
053  20517 |Loss: 1.747 | Acc: 35.110% 
053  20518 |Loss: 1.747 | Acc: 35.127% 
053  20519 |Loss: 1.747 | Acc: 35.148% 
053  20520 |Loss: 1.747 | Acc: 35.127% 
053  20521 |Loss: 1.747 | Acc: 35.131% 
053  20522 |Loss: 1.746 | Acc: 35.160% 
053  20523 |Loss: 1.746 | Acc: 35.181% 
053  20524 |Loss: 1.746 | Acc: 35.197% 
053  20525 |Loss: 1.746 | Acc: 35.189% 
053  20526 |Loss: 1.746 | Acc: 35.213% 
053  20527 |Loss: 1.747 | Acc: 35.196% 
053  20528 |Loss: 1.747 | Acc: 35.196% 
053  20529 |Loss: 1.747 | Acc: 35.184% 
053  20530 |Loss: 1.747 | Acc: 35.196% 
053  20531 |Loss: 1.747 | Acc: 35.141% 
053  20532 |Loss: 1.747 | Acc: 35.117% 
053  20533 |Loss: 1.747 | Acc: 35.129% 
053  20534 |Loss: 1.747 | Acc: 35.098% 
053  20535 |Loss: 1.747 | Acc: 35.099% 
053  20536 |Loss: 1.746 | Acc: 35.106% 
053  20537 |Loss: 1.746 | Acc: 35.141% 
053  20538 |Loss: 1.747 | Acc: 35.130% 
053  20539 |Loss: 1.747 | Acc: 35.130% 
053  20540 |Loss: 1.747 | Acc: 35.096% 
053  20541 |Loss: 1.748 | Acc: 35.085% 
053  20542 |Loss: 1.747 | Acc: 35.082% 
053  20543 |Loss: 1.747 | Acc: 35.075% 
053  20544 |Loss: 1.748 | Acc: 35.075% 
053  20545 |Loss: 1.748 | Acc: 35.076% 
053  20546 |Loss: 1.748 | Acc: 35.076% 
053  20547 |Loss: 1.748 | Acc: 35.102% 
053  20548 |Loss: 1.748 | Acc: 35.106% 
053  20549 |Loss: 1.748 | Acc: 35.095% 
053  20550 |Loss: 1.748 | Acc: 35.113% 
053  20551 |Loss: 1.747 | Acc: 35.113% 
053  20552 |Loss: 1.747 | Acc: 35.117% 
053  20553 |Loss: 1.747 | Acc: 35.110% 
053  20554 |Loss: 1.748 | Acc: 35.096% 
053  20555 |Loss: 1.748 | Acc: 35.118% 
053  20556 |Loss: 1.748 | Acc: 35.104% 
053  20557 |Loss: 1.748 | Acc: 35.118% 
053  20558 |Loss: 1.748 | Acc: 35.097% 
053  20559 |Loss: 1.748 | Acc: 35.091% 
053  20560 |Loss: 1.749 | Acc: 35.084% 
053  20561 |Loss: 1.748 | Acc: 35.081% 
053  20562 |Loss: 1.749 | Acc: 35.061% 
053  20563 |Loss: 1.750 | Acc: 35.038% 
053  20564 |Loss: 1.750 | Acc: 35.042% 
053  20565 |Loss: 1.750 | Acc: 35.039% 
053  20566 |Loss: 1.750 | Acc: 35.019% 
053  20567 |Loss: 1.751 | Acc: 34.993% 
053  20568 |Loss: 1.751 | Acc: 34.964% 
053  20569 |Loss: 1.751 | Acc: 34.991% 
053  20570 |Loss: 1.751 | Acc: 35.012% 
053  20571 |Loss: 1.751 | Acc: 35.035% 
053  20572 |Loss: 1.751 | Acc: 35.029% 
053  20573 |Loss: 1.751 | Acc: 35.023% 
053  20574 |Loss: 1.751 | Acc: 35.005% 
053  20575 |Loss: 1.751 | Acc: 35.012% 
053  20576 |Loss: 1.751 | Acc: 35.009% 
053  20577 |Loss: 1.751 | Acc: 35.003% 
053  20578 |Loss: 1.751 | Acc: 34.978% 
053  20579 |Loss: 1.751 | Acc: 34.976% 
053  20580 |Loss: 1.752 | Acc: 34.951% 
053  20581 |Loss: 1.752 | Acc: 34.943% 
053  20582 |Loss: 1.752 | Acc: 34.922% 
053  20583 |Loss: 1.752 | Acc: 34.913% 
053  20584 |Loss: 1.752 | Acc: 34.914% 
053  20585 |Loss: 1.752 | Acc: 34.931% 
053  20586 |Loss: 1.751 | Acc: 34.938% 
053  20587 |Loss: 1.751 | Acc: 34.948% 
053  20588 |Loss: 1.751 | Acc: 34.933% 
053  20589 |Loss: 1.751 | Acc: 34.928% 
053  20590 |Loss: 1.751 | Acc: 34.914% 
053  20591 |Loss: 1.751 | Acc: 34.921% 
053  20592 |Loss: 1.752 | Acc: 34.871% 
053  20593 |Loss: 1.752 | Acc: 34.896% 
053  20594 |Loss: 1.752 | Acc: 34.873% 
053  20595 |Loss: 1.751 | Acc: 34.880% 
053  20596 |Loss: 1.751 | Acc: 34.905% 
053  20597 |Loss: 1.751 | Acc: 34.888% 
053  20598 |Loss: 1.751 | Acc: 34.877% 
053  20599 |Loss: 1.751 | Acc: 34.861% 
053  20600 |Loss: 1.751 | Acc: 34.868% 
053  20601 |Loss: 1.752 | Acc: 34.857% 
053  20602 |Loss: 1.751 | Acc: 34.884% 
053  20603 |Loss: 1.751 | Acc: 34.885% 
053  20604 |Loss: 1.751 | Acc: 34.886% 
053  20605 |Loss: 1.751 | Acc: 34.867% 
053  20606 |Loss: 1.752 | Acc: 34.843% 
053  20607 |Loss: 1.751 | Acc: 34.838% 
053  20608 |Loss: 1.752 | Acc: 34.848% 
