EPOCH=101, Accuracy=64.130%, Adv_Accuracy=62.900%, FGSM_Accuracy=50.140%, PGD_Accuracy=49.2100%
EPOCH=102, Accuracy=65.150%, Adv_Accuracy=62.500%, FGSM_Accuracy=49.860%, PGD_Accuracy=49.1800%
EPOCH=103, Accuracy=64.550%, Adv_Accuracy=63.400%, FGSM_Accuracy=49.710%, PGD_Accuracy=48.9100%
EPOCH=104, Accuracy=65.890%, Adv_Accuracy=64.300%, FGSM_Accuracy=52.540%, PGD_Accuracy=51.7200%
EPOCH=105, Accuracy=62.010%, Adv_Accuracy=59.700%, FGSM_Accuracy=44.720%, PGD_Accuracy=43.5700%
EPOCH=106, Accuracy=64.090%, Adv_Accuracy=61.700%, FGSM_Accuracy=50.780%, PGD_Accuracy=50.1800%
EPOCH=107, Accuracy=64.670%, Adv_Accuracy=62.100%, FGSM_Accuracy=49.530%, PGD_Accuracy=48.2800%
EPOCH=108, Accuracy=63.490%, Adv_Accuracy=61.600%, FGSM_Accuracy=52.180%, PGD_Accuracy=51.2900%
EPOCH=109, Accuracy=64.830%, Adv_Accuracy=64.500%, FGSM_Accuracy=53.420%, PGD_Accuracy=51.5300%
EPOCH=110, Accuracy=65.410%, Adv_Accuracy=64.200%, FGSM_Accuracy=51.110%, PGD_Accuracy=50.6700%
EPOCH=111, Accuracy=64.710%, Adv_Accuracy=62.700%, FGSM_Accuracy=51.720%, PGD_Accuracy=51.1600%
EPOCH=112, Accuracy=63.390%, Adv_Accuracy=61.600%, FGSM_Accuracy=50.650%, PGD_Accuracy=49.5900%
EPOCH=113, Accuracy=64.300%, Adv_Accuracy=62.100%, FGSM_Accuracy=52.780%, PGD_Accuracy=51.4900%
EPOCH=114, Accuracy=64.230%, Adv_Accuracy=63.000%, FGSM_Accuracy=49.130%, PGD_Accuracy=48.7000%
EPOCH=115, Accuracy=64.370%, Adv_Accuracy=61.800%, FGSM_Accuracy=49.980%, PGD_Accuracy=49.9800%
EPOCH=116, Accuracy=63.160%, Adv_Accuracy=63.000%, FGSM_Accuracy=50.080%, PGD_Accuracy=49.1900%
EPOCH=117, Accuracy=64.370%, Adv_Accuracy=63.000%, FGSM_Accuracy=51.120%, PGD_Accuracy=49.5600%
EPOCH=118, Accuracy=63.000%, Adv_Accuracy=61.200%, FGSM_Accuracy=48.950%, PGD_Accuracy=47.7500%
