105  40665 |Loss: 0.371 | Acc: 89.844% 
105  40666 |Loss: 0.422 | Acc: 88.672% 
105  40667 |Loss: 0.392 | Acc: 88.802% 
105  40668 |Loss: 0.407 | Acc: 87.891% 
105  40669 |Loss: 0.412 | Acc: 87.188% 
105  40670 |Loss: 0.414 | Acc: 86.719% 
105  40671 |Loss: 0.420 | Acc: 86.161% 
105  40672 |Loss: 0.412 | Acc: 86.230% 
105  40673 |Loss: 0.401 | Acc: 86.545% 
105  40674 |Loss: 0.408 | Acc: 86.172% 
105  40675 |Loss: 0.403 | Acc: 86.364% 
105  40676 |Loss: 0.399 | Acc: 86.328% 
105  40677 |Loss: 0.393 | Acc: 86.538% 
105  40678 |Loss: 0.394 | Acc: 86.607% 
105  40679 |Loss: 0.394 | Acc: 86.667% 
105  40680 |Loss: 0.397 | Acc: 86.768% 
105  40681 |Loss: 0.397 | Acc: 86.581% 
105  40682 |Loss: 0.395 | Acc: 86.675% 
105  40683 |Loss: 0.398 | Acc: 86.472% 
105  40684 |Loss: 0.400 | Acc: 86.328% 
105  40685 |Loss: 0.400 | Acc: 86.310% 
105  40686 |Loss: 0.399 | Acc: 86.364% 
105  40687 |Loss: 0.395 | Acc: 86.515% 
105  40688 |Loss: 0.391 | Acc: 86.654% 
105  40689 |Loss: 0.392 | Acc: 86.688% 
105  40690 |Loss: 0.390 | Acc: 86.689% 
105  40691 |Loss: 0.388 | Acc: 86.719% 
105  40692 |Loss: 0.388 | Acc: 86.747% 
105  40693 |Loss: 0.386 | Acc: 86.880% 
105  40694 |Loss: 0.384 | Acc: 86.875% 
105  40695 |Loss: 0.383 | Acc: 86.920% 
105  40696 |Loss: 0.387 | Acc: 86.816% 
105  40697 |Loss: 0.384 | Acc: 86.813% 
105  40698 |Loss: 0.382 | Acc: 86.926% 
105  40699 |Loss: 0.380 | Acc: 86.897% 
105  40700 |Loss: 0.379 | Acc: 86.871% 
105  40701 |Loss: 0.378 | Acc: 86.951% 
105  40702 |Loss: 0.378 | Acc: 86.965% 
105  40703 |Loss: 0.376 | Acc: 87.059% 
105  40704 |Loss: 0.376 | Acc: 87.109% 
105  40705 |Loss: 0.376 | Acc: 87.176% 
105  40706 |Loss: 0.373 | Acc: 87.295% 
105  40707 |Loss: 0.372 | Acc: 87.336% 
105  40708 |Loss: 0.373 | Acc: 87.287% 
105  40709 |Loss: 0.375 | Acc: 87.222% 
105  40710 |Loss: 0.374 | Acc: 87.279% 
105  40711 |Loss: 0.375 | Acc: 87.267% 
105  40712 |Loss: 0.373 | Acc: 87.288% 
105  40713 |Loss: 0.373 | Acc: 87.277% 
105  40714 |Loss: 0.372 | Acc: 87.344% 
105  40715 |Loss: 0.374 | Acc: 87.224% 
105  40716 |Loss: 0.371 | Acc: 87.275% 
105  40717 |Loss: 0.370 | Acc: 87.353% 
105  40718 |Loss: 0.370 | Acc: 87.355% 
105  40719 |Loss: 0.369 | Acc: 87.386% 
105  40720 |Loss: 0.367 | Acc: 87.430% 
105  40721 |Loss: 0.367 | Acc: 87.486% 
105  40722 |Loss: 0.367 | Acc: 87.487% 
105  40723 |Loss: 0.365 | Acc: 87.579% 
105  40724 |Loss: 0.364 | Acc: 87.630% 
105  40725 |Loss: 0.364 | Acc: 87.628% 
105  40726 |Loss: 0.363 | Acc: 87.664% 
105  40727 |Loss: 0.363 | Acc: 87.711% 
105  40728 |Loss: 0.364 | Acc: 87.659% 
105  40729 |Loss: 0.365 | Acc: 87.620% 
105  40730 |Loss: 0.365 | Acc: 87.630% 
105  40731 |Loss: 0.363 | Acc: 87.652% 
105  40732 |Loss: 0.364 | Acc: 87.638% 
105  40733 |Loss: 0.363 | Acc: 87.681% 
105  40734 |Loss: 0.361 | Acc: 87.757% 
105  40735 |Loss: 0.362 | Acc: 87.720% 
105  40736 |Loss: 0.362 | Acc: 87.739% 
105  40737 |Loss: 0.359 | Acc: 87.842% 
105  40738 |Loss: 0.359 | Acc: 87.838% 
105  40739 |Loss: 0.358 | Acc: 87.896% 
105  40740 |Loss: 0.358 | Acc: 87.891% 
