126  48876 |Loss: 0.228 | Acc: 90.625% 
126  48877 |Loss: 0.187 | Acc: 92.969% 
126  48878 |Loss: 0.195 | Acc: 92.969% 
126  48879 |Loss: 0.176 | Acc: 93.555% 
126  48880 |Loss: 0.193 | Acc: 92.812% 
126  48881 |Loss: 0.193 | Acc: 92.708% 
126  48882 |Loss: 0.197 | Acc: 92.634% 
126  48883 |Loss: 0.197 | Acc: 92.676% 
126  48884 |Loss: 0.195 | Acc: 92.622% 
126  48885 |Loss: 0.209 | Acc: 92.500% 
126  48886 |Loss: 0.212 | Acc: 92.543% 
126  48887 |Loss: 0.211 | Acc: 92.578% 
126  48888 |Loss: 0.212 | Acc: 92.548% 
126  48889 |Loss: 0.208 | Acc: 92.690% 
126  48890 |Loss: 0.208 | Acc: 92.656% 
126  48891 |Loss: 0.208 | Acc: 92.676% 
126  48892 |Loss: 0.211 | Acc: 92.647% 
126  48893 |Loss: 0.208 | Acc: 92.752% 
126  48894 |Loss: 0.210 | Acc: 92.722% 
126  48895 |Loss: 0.208 | Acc: 92.812% 
126  48896 |Loss: 0.211 | Acc: 92.820% 
126  48897 |Loss: 0.212 | Acc: 92.649% 
126  48898 |Loss: 0.208 | Acc: 92.833% 
126  48899 |Loss: 0.214 | Acc: 92.611% 
126  48900 |Loss: 0.214 | Acc: 92.625% 
126  48901 |Loss: 0.214 | Acc: 92.548% 
126  48902 |Loss: 0.217 | Acc: 92.448% 
126  48903 |Loss: 0.217 | Acc: 92.383% 
126  48904 |Loss: 0.219 | Acc: 92.403% 
126  48905 |Loss: 0.217 | Acc: 92.448% 
126  48906 |Loss: 0.217 | Acc: 92.440% 
126  48907 |Loss: 0.217 | Acc: 92.358% 
126  48908 |Loss: 0.217 | Acc: 92.353% 
126  48909 |Loss: 0.218 | Acc: 92.371% 
126  48910 |Loss: 0.218 | Acc: 92.433% 
126  48911 |Loss: 0.219 | Acc: 92.383% 
126  48912 |Loss: 0.220 | Acc: 92.378% 
126  48913 |Loss: 0.219 | Acc: 92.393% 
126  48914 |Loss: 0.221 | Acc: 92.348% 
126  48915 |Loss: 0.221 | Acc: 92.363% 
126  48916 |Loss: 0.221 | Acc: 92.378% 
126  48917 |Loss: 0.220 | Acc: 92.374% 
126  48918 |Loss: 0.218 | Acc: 92.460% 
126  48919 |Loss: 0.219 | Acc: 92.454% 
126  48920 |Loss: 0.220 | Acc: 92.431% 
126  48921 |Loss: 0.217 | Acc: 92.527% 
126  48922 |Loss: 0.217 | Acc: 92.537% 
126  48923 |Loss: 0.216 | Acc: 92.594% 
126  48924 |Loss: 0.217 | Acc: 92.538% 
126  48925 |Loss: 0.219 | Acc: 92.500% 
126  48926 |Loss: 0.219 | Acc: 92.433% 
126  48927 |Loss: 0.218 | Acc: 92.503% 
126  48928 |Loss: 0.219 | Acc: 92.423% 
126  48929 |Loss: 0.220 | Acc: 92.419% 
126  48930 |Loss: 0.220 | Acc: 92.401% 
126  48931 |Loss: 0.220 | Acc: 92.425% 
126  48932 |Loss: 0.220 | Acc: 92.448% 
126  48933 |Loss: 0.221 | Acc: 92.416% 
126  48934 |Loss: 0.221 | Acc: 92.413% 
126  48935 |Loss: 0.221 | Acc: 92.461% 
126  48936 |Loss: 0.221 | Acc: 92.431% 
126  48937 |Loss: 0.220 | Acc: 92.465% 
126  48938 |Loss: 0.220 | Acc: 92.473% 
126  48939 |Loss: 0.220 | Acc: 92.493% 
126  48940 |Loss: 0.220 | Acc: 92.512% 
126  48941 |Loss: 0.219 | Acc: 92.566% 
126  48942 |Loss: 0.219 | Acc: 92.596% 
126  48943 |Loss: 0.220 | Acc: 92.544% 
126  48944 |Loss: 0.220 | Acc: 92.572% 
126  48945 |Loss: 0.221 | Acc: 92.545% 
126  48946 |Loss: 0.221 | Acc: 92.496% 
126  48947 |Loss: 0.221 | Acc: 92.491% 
126  48948 |Loss: 0.221 | Acc: 92.476% 
126  48949 |Loss: 0.222 | Acc: 92.409% 
126  48950 |Loss: 0.222 | Acc: 92.427% 
126  48951 |Loss: 0.220 | Acc: 92.486% 
126  48952 |Loss: 0.220 | Acc: 92.482% 
126  48953 |Loss: 0.219 | Acc: 92.508% 
126  48954 |Loss: 0.219 | Acc: 92.514% 
126  48955 |Loss: 0.219 | Acc: 92.510% 
126  48956 |Loss: 0.220 | Acc: 92.506% 
126  48957 |Loss: 0.220 | Acc: 92.511% 
126  48958 |Loss: 0.220 | Acc: 92.526% 
126  48959 |Loss: 0.219 | Acc: 92.541% 
126  48960 |Loss: 0.219 | Acc: 92.555% 
126  48961 |Loss: 0.221 | Acc: 92.460% 
126  48962 |Loss: 0.222 | Acc: 92.457% 
126  48963 |Loss: 0.223 | Acc: 92.427% 
126  48964 |Loss: 0.223 | Acc: 92.442% 
126  48965 |Loss: 0.222 | Acc: 92.465% 
126  48966 |Loss: 0.223 | Acc: 92.479% 
126  48967 |Loss: 0.222 | Acc: 92.476% 
126  48968 |Loss: 0.222 | Acc: 92.448% 
126  48969 |Loss: 0.222 | Acc: 92.445% 
126  48970 |Loss: 0.224 | Acc: 92.401% 
126  48971 |Loss: 0.222 | Acc: 92.415% 
126  48972 |Loss: 0.222 | Acc: 92.445% 
126  48973 |Loss: 0.221 | Acc: 92.443% 
126  48974 |Loss: 0.221 | Acc: 92.464% 
126  48975 |Loss: 0.221 | Acc: 92.477% 
126  48976 |Loss: 0.221 | Acc: 92.497% 
126  48977 |Loss: 0.221 | Acc: 92.494% 
126  48978 |Loss: 0.221 | Acc: 92.476% 
126  48979 |Loss: 0.221 | Acc: 92.488% 
126  48980 |Loss: 0.221 | Acc: 92.500% 
126  48981 |Loss: 0.222 | Acc: 92.453% 
126  48982 |Loss: 0.223 | Acc: 92.436% 
126  48983 |Loss: 0.223 | Acc: 92.426% 
126  48984 |Loss: 0.223 | Acc: 92.431% 
126  48985 |Loss: 0.223 | Acc: 92.436% 
126  48986 |Loss: 0.222 | Acc: 92.448% 
126  48987 |Loss: 0.221 | Acc: 92.487% 
126  48988 |Loss: 0.222 | Acc: 92.450% 
126  48989 |Loss: 0.222 | Acc: 92.448% 
126  48990 |Loss: 0.223 | Acc: 92.446% 
126  48991 |Loss: 0.224 | Acc: 92.423% 
126  48992 |Loss: 0.225 | Acc: 92.395% 
126  48993 |Loss: 0.225 | Acc: 92.413% 
126  48994 |Loss: 0.225 | Acc: 92.398% 
126  48995 |Loss: 0.225 | Acc: 92.396% 
