161  62679 |Loss: 0.204 | Acc: 92.949% 
161  62680 |Loss: 0.203 | Acc: 92.969% 
161  62681 |Loss: 0.203 | Acc: 92.982% 
161  62682 |Loss: 0.203 | Acc: 92.988% 
161  62683 |Loss: 0.203 | Acc: 92.975% 
161  62684 |Loss: 0.203 | Acc: 92.981% 
161  62685 |Loss: 0.204 | Acc: 92.950% 
161  62686 |Loss: 0.204 | Acc: 92.944% 
161  62687 |Loss: 0.204 | Acc: 92.932% 
161  62688 |Loss: 0.204 | Acc: 92.950% 
161  62689 |Loss: 0.204 | Acc: 92.957% 
161  62690 |Loss: 0.204 | Acc: 92.963% 
161  62691 |Loss: 0.203 | Acc: 92.957% 
161  62692 |Loss: 0.203 | Acc: 92.992% 
161  62693 |Loss: 0.203 | Acc: 92.992% 
161  62694 |Loss: 0.203 | Acc: 92.998% 
161  62695 |Loss: 0.203 | Acc: 92.998% 
161  62696 |Loss: 0.203 | Acc: 92.986% 
161  62697 |Loss: 0.203 | Acc: 92.986% 
161  62698 |Loss: 0.203 | Acc: 92.952% 
161  62699 |Loss: 0.203 | Acc: 92.980% 
161  62700 |Loss: 0.203 | Acc: 92.997% 
161  62701 |Loss: 0.204 | Acc: 92.991% 
161  62702 |Loss: 0.203 | Acc: 92.996% 
161  62703 |Loss: 0.203 | Acc: 93.002% 
161  62704 |Loss: 0.203 | Acc: 93.012% 
161  62705 |Loss: 0.203 | Acc: 92.996% 
161  62706 |Loss: 0.203 | Acc: 92.990% 
161  62707 |Loss: 0.203 | Acc: 93.001% 
161  62708 |Loss: 0.203 | Acc: 93.011% 
161  62709 |Loss: 0.203 | Acc: 93.016% 
161  62710 |Loss: 0.203 | Acc: 93.005% 
161  62711 |Loss: 0.202 | Acc: 93.015% 
161  62712 |Loss: 0.202 | Acc: 93.020% 
161  62713 |Loss: 0.202 | Acc: 93.035% 
161  62714 |Loss: 0.202 | Acc: 93.035% 
161  62715 |Loss: 0.202 | Acc: 93.024% 
161  62716 |Loss: 0.202 | Acc: 93.034% 
161  62717 |Loss: 0.202 | Acc: 93.058% 
161  62718 |Loss: 0.202 | Acc: 93.068% 
161  62719 |Loss: 0.201 | Acc: 93.082% 
161  62720 |Loss: 0.202 | Acc: 93.066% 
161  62721 |Loss: 0.202 | Acc: 93.071% 
161  62722 |Loss: 0.202 | Acc: 93.080% 
161  62723 |Loss: 0.202 | Acc: 93.079% 
161  62724 |Loss: 0.202 | Acc: 93.064% 
161  62725 |Loss: 0.202 | Acc: 93.068% 
161  62726 |Loss: 0.202 | Acc: 93.053% 
161  62727 |Loss: 0.203 | Acc: 93.053% 
161  62728 |Loss: 0.203 | Acc: 93.062% 
161  62729 |Loss: 0.203 | Acc: 93.057% 
161  62730 |Loss: 0.203 | Acc: 93.042% 
161  62731 |Loss: 0.203 | Acc: 93.046% 
161  62732 |Loss: 0.202 | Acc: 93.055% 
161  62733 |Loss: 0.203 | Acc: 93.046% 
161  62734 |Loss: 0.203 | Acc: 93.050% 
161  62735 |Loss: 0.203 | Acc: 93.058% 
161  62736 |Loss: 0.203 | Acc: 93.058% 
161  62737 |Loss: 0.202 | Acc: 93.061% 
161  62738 |Loss: 0.202 | Acc: 93.070% 
161  62739 |Loss: 0.202 | Acc: 93.069% 
161  62740 |Loss: 0.202 | Acc: 93.086% 
161  62741 |Loss: 0.202 | Acc: 93.077% 
161  62742 |Loss: 0.202 | Acc: 93.072% 
161  62743 |Loss: 0.202 | Acc: 93.084% 
161  62744 |Loss: 0.202 | Acc: 93.058% 
161  62745 |Loss: 0.202 | Acc: 93.053% 
161  62746 |Loss: 0.203 | Acc: 93.044% 
161  62747 |Loss: 0.202 | Acc: 93.069% 
161  62748 |Loss: 0.202 | Acc: 93.064% 
161  62749 |Loss: 0.202 | Acc: 93.072% 
161  62750 |Loss: 0.202 | Acc: 93.088% 
161  62751 |Loss: 0.202 | Acc: 93.079% 
161  62752 |Loss: 0.202 | Acc: 93.066% 
161  62753 |Loss: 0.202 | Acc: 93.074% 
161  62754 |Loss: 0.202 | Acc: 93.073% 
161  62755 |Loss: 0.202 | Acc: 93.081% 
161  62756 |Loss: 0.202 | Acc: 93.068% 
161  62757 |Loss: 0.202 | Acc: 93.060% 
161  62758 |Loss: 0.202 | Acc: 93.071% 
161  62759 |Loss: 0.202 | Acc: 93.055% 
161  62760 |Loss: 0.203 | Acc: 93.055% 
161  62761 |Loss: 0.202 | Acc: 93.046% 
161  62762 |Loss: 0.203 | Acc: 93.042% 
161  62763 |Loss: 0.203 | Acc: 93.042% 
161  62764 |Loss: 0.202 | Acc: 93.049% 
161  62765 |Loss: 0.202 | Acc: 93.060% 
161  62766 |Loss: 0.202 | Acc: 93.075% 
161  62767 |Loss: 0.202 | Acc: 93.074% 
161  62768 |Loss: 0.202 | Acc: 93.089% 
161  62769 |Loss: 0.201 | Acc: 93.103% 
161  62770 |Loss: 0.202 | Acc: 93.088% 
161  62771 |Loss: 0.202 | Acc: 93.072% 
161  62772 |Loss: 0.202 | Acc: 93.079% 
161  62773 |Loss: 0.202 | Acc: 93.071% 
161  62774 |Loss: 0.202 | Acc: 93.060% 
161  62775 |Loss: 0.202 | Acc: 93.081% 
161  62776 |Loss: 0.202 | Acc: 93.084% 
161  62777 |Loss: 0.202 | Acc: 93.091% 
161  62778 |Loss: 0.202 | Acc: 93.087% 
161  62779 |Loss: 0.202 | Acc: 93.083% 
161  62780 |Loss: 0.202 | Acc: 93.065% 
161  62781 |Loss: 0.202 | Acc: 93.054% 
161  62782 |Loss: 0.202 | Acc: 93.057% 
161  62783 |Loss: 0.202 | Acc: 93.077% 
161  62784 |Loss: 0.202 | Acc: 93.087% 
161  62785 |Loss: 0.202 | Acc: 93.087% 
161  62786 |Loss: 0.202 | Acc: 93.083% 
161  62787 |Loss: 0.202 | Acc: 93.075% 
161  62788 |Loss: 0.202 | Acc: 93.075% 
161  62789 |Loss: 0.202 | Acc: 93.068% 
161  62790 |Loss: 0.202 | Acc: 93.067% 
161  62791 |Loss: 0.202 | Acc: 93.063% 
161  62792 |Loss: 0.202 | Acc: 93.063% 
161  62793 |Loss: 0.202 | Acc: 93.076% 
161  62794 |Loss: 0.202 | Acc: 93.082% 
161  62795 |Loss: 0.202 | Acc: 93.075% 
161  62796 |Loss: 0.202 | Acc: 93.068% 
161  62797 |Loss: 0.202 | Acc: 93.087% 
161  62798 |Loss: 0.202 | Acc: 93.080% 
161  62799 |Loss: 0.202 | Acc: 93.096% 
161  62800 |Loss: 0.202 | Acc: 93.105% 
161  62801 |Loss: 0.201 | Acc: 93.111% 
161  62802 |Loss: 0.202 | Acc: 93.114% 
161  62803 |Loss: 0.202 | Acc: 93.117% 
161  62804 |Loss: 0.202 | Acc: 93.126% 
161  62805 |Loss: 0.202 | Acc: 93.122% 
161  62806 |Loss: 0.202 | Acc: 93.112% 
161  62807 |Loss: 0.202 | Acc: 93.108% 
161  62808 |Loss: 0.202 | Acc: 93.107% 
161  62809 |Loss: 0.202 | Acc: 93.107% 
161  62810 |Loss: 0.202 | Acc: 93.106% 
161  62811 |Loss: 0.202 | Acc: 93.109% 
161  62812 |Loss: 0.202 | Acc: 93.118% 
161  62813 |Loss: 0.202 | Acc: 93.111% 
161  62814 |Loss: 0.202 | Acc: 93.116% 
161  62815 |Loss: 0.202 | Acc: 93.110% 
161  62816 |Loss: 0.202 | Acc: 93.106% 
161  62817 |Loss: 0.202 | Acc: 93.118% 
161  62818 |Loss: 0.202 | Acc: 93.108% 
161  62819 |Loss: 0.202 | Acc: 93.111% 
161  62820 |Loss: 0.202 | Acc: 93.113% 
161  62821 |Loss: 0.202 | Acc: 93.121% 
161  62822 |Loss: 0.202 | Acc: 93.127% 
161  62823 |Loss: 0.202 | Acc: 93.132% 
161  62824 |Loss: 0.201 | Acc: 93.146% 
161  62825 |Loss: 0.201 | Acc: 93.157% 
161  62826 |Loss: 0.201 | Acc: 93.157% 
161  62827 |Loss: 0.201 | Acc: 93.159% 
161  62828 |Loss: 0.201 | Acc: 93.164% 
161  62829 |Loss: 0.201 | Acc: 93.146% 
161  62830 |Loss: 0.201 | Acc: 93.151% 
161  62831 |Loss: 0.201 | Acc: 93.156% 
161  62832 |Loss: 0.201 | Acc: 93.155% 
161  62833 |Loss: 0.201 | Acc: 93.152% 
161  62834 |Loss: 0.201 | Acc: 93.140% 
161  62835 |Loss: 0.202 | Acc: 93.142% 
161  62836 |Loss: 0.202 | Acc: 93.141% 
161  62837 |Loss: 0.201 | Acc: 93.155% 
161  62838 |Loss: 0.202 | Acc: 93.149% 
161  62839 |Loss: 0.202 | Acc: 93.137% 
161  62840 |Loss: 0.202 | Acc: 93.150% 
161  62841 |Loss: 0.202 | Acc: 93.155% 
161  62842 |Loss: 0.202 | Acc: 93.146% 
161  62843 |Loss: 0.201 | Acc: 93.162% 
161  62844 |Loss: 0.201 | Acc: 93.164% 
161  62845 |Loss: 0.201 | Acc: 93.172% 
161  62846 |Loss: 0.201 | Acc: 93.168% 
161  62847 |Loss: 0.201 | Acc: 93.159% 
161  62848 |Loss: 0.201 | Acc: 93.153% 
161  62849 |Loss: 0.202 | Acc: 93.139% 
161  62850 |Loss: 0.202 | Acc: 93.136% 
161  62851 |Loss: 0.202 | Acc: 93.133% 
161  62852 |Loss: 0.202 | Acc: 93.135% 
161  62853 |Loss: 0.201 | Acc: 93.150% 
161  62854 |Loss: 0.202 | Acc: 93.128% 
161  62855 |Loss: 0.201 | Acc: 93.141% 
161  62856 |Loss: 0.201 | Acc: 93.140% 
161  62857 |Loss: 0.201 | Acc: 93.134% 
161  62858 |Loss: 0.201 | Acc: 93.139% 
161  62859 |Loss: 0.201 | Acc: 93.146% 
161  62860 |Loss: 0.201 | Acc: 93.143% 
161  62861 |Loss: 0.201 | Acc: 93.148% 
161  62862 |Loss: 0.201 | Acc: 93.137% 
161  62863 |Loss: 0.201 | Acc: 93.144% 
161  62864 |Loss: 0.201 | Acc: 93.131% 
161  62865 |Loss: 0.201 | Acc: 93.135% 
161  62866 |Loss: 0.201 | Acc: 93.127% 
161  62867 |Loss: 0.201 | Acc: 93.132% 
161  62868 |Loss: 0.201 | Acc: 93.141% 
161  62869 |Loss: 0.201 | Acc: 93.120% 
161  62870 |Loss: 0.201 | Acc: 93.130% 
161  62871 |Loss: 0.201 | Acc: 93.132% 
161  62872 |Loss: 0.201 | Acc: 93.116% 
161  62873 |Loss: 0.201 | Acc: 93.116% 
161  62874 |Loss: 0.201 | Acc: 93.106% 
161  62875 |Loss: 0.201 | Acc: 93.110% 
161  62876 |Loss: 0.201 | Acc: 93.110% 
161  62877 |Loss: 0.201 | Acc: 93.107% 
161  62878 |Loss: 0.201 | Acc: 93.104% 
